created_at,text
2021-12-04 11:22:58,@ESPNFC @Cristiano #LM7 SEVEN BABY!
2021-12-04 11:21:49,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:20:45,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 11:20:26,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 11:19:39,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:17:15,"The legend Leo Messi with his 7th Ballon d'Or  😍🔥
:
:
;
#LM7 🔮 https://t.co/3nUxob1vd0"
2021-12-04 11:15:49,@CrewsMat10 Yessirrrrrr #LM7 🐐🐐🐐
2021-12-04 11:13:48,Balloon d'Or collector #LM7 https://t.co/mJpvy9UG8X
2021-12-04 11:13:41,"RT @abu_speak: This is popularity 💓 of Lionel Messi. A face painting of #messi 🐐 by disabled Iranian artist Fatemeh Hammami.
#messi  #LM7 #…"
2021-12-04 11:13:34,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 11:11:05,"RT @prime_cr6: On a real note this is my last tweet ever, we did it Messi FC. Messi is the goat &amp; Barcelona owns football. We truly move.…"
2021-12-04 11:10:18,"RT @itsdopeawesome: 6 European Golden Boots.
7 Ballon D'Ors.
8 Pichichi Awards.

Only 1 Lionel Messi - The GREATEST FOOTBALLER OF ALL TIME!…"
2021-12-04 11:09:41,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:08:37,"6 European Golden Boots.
7 Ballon D'Ors.
8 Pichichi Awards.

Only 1 Lionel Messi - The GREATEST FOOTBALLER OF ALL T… https://t.co/6T92bYlY3Z"
2021-12-04 11:08:21,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 11:08:17,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:07:23,"RT @TotalChampMessi: Every masterpiece has its own cheap copy 

#LM7 #BallonDor https://t.co/YhmZf5tFhA"
2021-12-04 11:06:20,"RT @TotalChampMessi: Messi official stats have been updated 😔
Stats via [@livescore] 

#LM7 #GOAT https://t.co/lIAChscmx6"
2021-12-04 11:05:32,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:05:23,Best photo on social media this week 🏆 #LM7 #KingLeo https://t.co/XDsXCkeWa2
2021-12-04 11:05:10,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:04:49,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:04:27,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 11:03:23,RT @DeloarDuda: On the table with my Ballons D’or. #Factos #LM7 #Mess7 #L7O https://t.co/nxMHYKQBwA
2021-12-04 11:03:03,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:55:33,"As it dey pain dem, it dey sweet us #LM7 🐐 https://t.co/xv1jM2UKKo"
2021-12-04 10:54:35,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:54:30,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 10:53:55,The coldest picture in the history of pictures 🥶🥶🥶🥶 #messi7 #LM7 https://t.co/dSqGK1NzMQ
2021-12-04 10:51:08,"Good morning everyone
Have an amazing day 👏🏻

Match day 🔥. I'm so excited... Was out yesterday, so am ready to watc… https://t.co/HTDpB6JTgk"
2021-12-04 10:49:58,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:49:49,RT @UnstoppableM10: The Greatest 🐐 #LM7 https://t.co/RZkDSb9etD
2021-12-04 10:49:23,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 10:48:41,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:47:39,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 10:47:06,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 10:46:59,I just love this guy..... And that's on periodt!!... #LM7 https://t.co/mPRyckIOED
2021-12-04 10:46:55,"RT @messi10_rey: Edit: Lionel #Messi #LM7..#BallonDor #FACTOS👍👀 
MESS7 is the definition of greatness !!! https://t.co/RWa1aISbgS"
2021-12-04 10:44:58,"@HomeboyzRadio Messi should have 9ballon dors, according to some of your logic. #LM7 #messi7 #GOAT https://t.co/jb3W9QwxUW"
2021-12-04 10:43:23,Greatest of all #lm7 #leomessi https://t.co/2Z6mWf5iei
2021-12-04 10:42:44,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:42:02,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:41:15,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:38:19,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:37:12,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:34:05,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 10:33:03,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:29:20,ICONIC. 🐐 #LM7 https://t.co/mMBx36IzEn
2021-12-04 10:29:11,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:27:46,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:26:59,RT @18Aadhii: #LM9 in my books. #LM7 https://t.co/nusy93she4
2021-12-04 10:25:20,RT @Addicted_To_Leo: Greatest of all time 🐐 #LM7 #Messi https://t.co/WTK5pcDQcG
2021-12-04 10:24:50,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:22:01,"RT @abu_speak: This is popularity 💓 of Lionel Messi. A face painting of #messi 🐐 by disabled Iranian artist Fatemeh Hammami.
#messi  #LM7 #…"
2021-12-04 10:21:25,@FIFAcom @Benzema @DeBruyneKev @Cristiano @ErlingHaaland @nglkante @lewy_official @KMbappe @neymarjr @MoSalah We ho… https://t.co/Y1HHqk4uxb
2021-12-04 10:20:09,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:19:31,RT @CrewsMat10: THREAD: Why Lionel Messi will win the 2021 Ballon d'Or. #LM7 https://t.co/XG690o7rl0
2021-12-04 10:19:30,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:19:29,RT @alphagambet: @AnkurMessi_ You can imagine the Goat saying this. Guess whom u can't imagine saying this. The most humble🐐 ever. #LM7 #De…
2021-12-04 10:19:25,@AnkurMessi_ You can imagine the Goat saying this. Guess whom u can't imagine saying this. The most humble🐐 ever.… https://t.co/CfVZecGKSc
2021-12-04 10:19:12,"RT @TotalChampMessi: Every masterpiece has its own cheap copy 

#LM7 #BallonDor https://t.co/YhmZf5tFhA"
